N,n_seg,build_s,solve_s,direct_s,speedup,mdot_table,mdot_direct,mdot_rel_diff,max_P_diff_Pa,max_T_diff_K,n_outside_grid,n_failed_build,error
20,400,1.0436670780181885,21.129552841186523,239.02973675727844,11.312579047643291,3287.26609686827,3289.2708880562304,0.0006094940964698957,2976.878735868726,0.07702227228173797,0,0,
25,20,1.3440132141113281,3.9238669872283936,61.33074879646301,15.630180379733952,3287.1795280475008,3287.0282795986454,4.60137352008972e-05,4437.280667159706,0.11063280016975341,0,0,
25,50,1.3440132141113281,5.560648679733276,70.52180171012878,12.682297654796535,3287.1795280475008,3287.0282795986454,4.60137352008972e-05,16304.23868191149,0.41149671081404904,0,0,
25,100,1.3440132141113281,7.204676151275635,98.28722476959229,13.642143339390751,3287.1795280475008,3287.0282795986454,4.60137352008972e-05,21622.582461141516,0.44449901526775193,0,0,
25,200,1.3440132141113281,10.450689554214478,149.69330763816833,14.32377326506662,3287.1795280475008,3287.0282795986454,4.60137352008972e-05,10342.246356566902,0.21932201357901704,0,0,
25,400,1.3440132141113281,19.216267108917236,239.02973675727844,12.438926634526098,3287.1795280475008,3289.2708880562304,0.0006358126405227614,20794.820349442773,0.5174193200055583,0,0,
30,20,2.0613253116607666,3.6005663871765137,61.33074879646301,17.033639211567838,3287.1352532955743,3287.0282795986454,3.254419732036849e-05,3733.8255895404145,0.09739620672809224,0,0,
30,50,2.0613253116607666,4.490759611129761,70.52180171012878,15.703757897739553,3287.1352532955743,3287.0282795986454,3.254419732036849e-05,4977.985981770791,0.12616365757099857,0,0,
30,100,2.0613253116607666,6.08367395401001,98.28722476959229,16.15589946348242,3287.1352532955743,3287.0282795986454,3.254419732036849e-05,22734.100044347346,0.5534305460522546,0,0,
30,200,2.0613253116607666,9.561277151107788,149.69330763816833,15.656204215440463,3287.1352532955743,3287.0282795986454,3.254419732036849e-05,20706.744865485933,0.49782214296601524,0,0,
30,400,2.0613253116607666,17.466899156570435,239.02973675727844,13.68472644255027,3287.1352532955743,3289.2708880562304,0.0006492729949396597,2617.9489423064515,0.05473024802768123,0,0,
40,20,3.7647697925567627,3.3408563137054443,61.33074879646301,18.357793043915507,3287.0908589588093,3287.0282795986454,1.903827860329512e-05,3915.9115023310296,0.10187910057953786,0,0,
40,50,3.7647697925567627,4.067120790481567,70.52180171012878,17.33949035277574,3287.0908589588093,3287.0282795986454,1.903827860329512e-05,5032.937535496429,0.12786675479657106,0,0,
40,100,3.7647697925567627,5.35936713218689,98.28722476959229,18.339334168638338,3287.0908589588093,3287.0282795986454,1.903827860329512e-05,23199.352623218205,0.5670420644503338,0,0,
40,200,3.7647697925567627,7.977663040161133,149.69330763816833,18.764054947493097,3287.0908589588093,3287.0282795986454,1.903827860329512e-05,21231.681470826734,0.5128334166107607,0,0,
40,400,3.7647697925567627,15.05055284500122,239.02973675727844,15.881791135444438,3287.0908589588093,3289.2708880562304,0.0006627697053888303,2566.8688291516155,0.052218734280984336,0,0,
50,20,5.611550807952881,2.9760162830352783,61.33074879646301,20.608337778955622,3287.0692190855134,3287.0282795986454,1.2454862990395197e-05,3830.0809643156826,0.09910457691444208,0,0,
50,50,5.611550807952881,3.66247296333313,70.52180171012878,19.25524158571496,3287.0692190855134,3287.0282795986454,1.2454862990395197e-05,4797.23467452731,0.12303605398028594,0,0,
50,100,5.611550807952881,4.845038414001465,98.28722476959229,20.28616006130237,3287.0692190855134,3287.0282795986454,1.2454862990395197e-05,22961.37572896015,0.5607354627672407,0,0,
50,200,5.611550807952881,6.6655590534210205,149.69330763816833,22.45772731716179,3287.0692190855134,3287.0282795986454,1.2454862990395197e-05,21193.178288699593,0.5118590822062856,0,0,
50,400,5.611550807952881,7.008451700210571,239.02973675727844,34.10592624189687,3287.0692190855134,3289.2708880562304,0.0006693486324618575,2554.609013476409,0.052324997204664214,0,0,
